Id;lemme;anagramme;nb_lettres;nb_lettres2;syn_1;syn_2;syn_3;syn_4;syn_5;def_1;def_2;def_3
1130;légende;édngeel;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;mythe;folklore;saga;mythologie;lecture;Inscription gravée circulairement près des bords et quelquefois sur la tranche d’une pièce de monnaie, d’un jeton, d’une médaille.;Âme d’une devise, de ce qu’on y peut lire.;Liste placée sur un plan d’architecture, sur une carte topographique, géographique (mappemonde ou autre), etc., pour expliquer les lettres, les signes, les couleurs par lesquels on indique les différentes parties ou les endroits remarquables.
1131;ongle;loegn;˽ ˽ ˽ ˽ ˽;5;ergot;serre;exosquelette;griffe;;(Anatomie) Lame dure, cornée, translucide, qui revêt le dessus du bout des doigts et des orteils.;Griffe de certains animaux, serre des oiseaux de proie.;(Médecine) Pellicule qui commence en forme d’ongle ou de croissant vers l’angle interne de l’œil et qui s’étend peu à peu jusque sur la prunelle.
1132;incident;nicdeitn;˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽;8;anicroche;accident;évènement;aventure;épisode;Qui survient accessoirement dans une affaire.;(Physique) Qualifie les rayons lumineux qui se rencontrent avec les surfaces des corps.;Événement inattendu pouvant avoir des conséquences mineures à importantes.
1133;liaison;oniilsa;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;relation;rapport;connexion;lien;attachement;Union ou jonction de plusieurs corps ensemble.;(Figuré) Amitié, bonne entente.;(En particulier) Relation amoureuse, surtout hors du mariage.
1134;section;icesont;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;fraction;division;tronçon;compartiment;coupure;Action de couper, de diviser ou résultat de cette action.;Division ou subdivision d’un ouvrage, d’un traité, d’un compte, d’une ville, d’un tribunal, d’un conseil, d’une académie, d’un établissement d’enseignement, fraction d’un corps de troupe, etc.;(Histoire) (France) Assemblée générale permanente révolutionnaire durant la Convention. 
1137;fumée;ueémf;˽ ˽ ˽ ˽ ˽;5;néant;vanité;vapeur;inanité;futilité;Nuée de particules en suspension dans l’air formant une masse gazeuse opaque, qui sort des choses brûlées, ou extrêmement échauffées par le feu.;Vapeur qui s’exhale des liquides bouillants, des mets très chauds.;Vapeur qui s’exhalent des corps ou des lieux humides.
1138;plomb;bmopl;˽ ˽ ˽ ˽ ˽;5;cendrée;chevrotine;fusible;saturne;coupe-circuit;"(Chimie) (Indénombrable) Métal d’un blanc bleuâtre, très mou. Son symbole chimique est Pb et son numéro atomique 82 ; il appartient à la série chimique des métaux pauvres.";(Par métonymie) Balles, lingots ou petits grains de plomb qu’on emploie à la chasse, pour charger les armes à feu.;(Imprimerie) Composition même.
1139;expert;petrex;˽ ˽ ˽  ˽ ˽ ˽;6;exercé;expérimenté;habile;compétent;versé;Qui est fort versé en la pratique de quelque art, de quelque connaissance qui s’apprend par expérience.;Personne nommée par autorité de justice, ou choisie par les parties intéressées pour examiner, pour estimer certaines choses et en faire son rapport.;Personne qui a un savoir, une connaissance, reconnus.
1140;tapis;aptsi;˽ ˽ ˽ ˽ ˽;5;paillasson;natte;descente de lit;lit;tapis-brosse;Pièce d’étoffe, tissu de laine, de soie, etc., dont on couvre une table, une estrade, le parquet d’une chambre, etc.;(Billard) Sorte de drap vert qui est fortement tendu sur la table d’un billard.;(Figuré) Sujet de conversation, de débat.
1141;version;rnoeivs;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;variante;interprétation;mouture;compte rendu;déclinaison;(Linguistique) Traduction d’une langue étrangère vers la langue maternelle du traducteur (par opposition à thème).;Manière de rapporter, d’interpréter des faits.;Forme différente que prend un récit historique, une légende ou un mythe.
1142;cieux;cixeu;˽ ˽ ˽ ˽ ˽;5;nue;firmament;ciel;;;Pluriel de ciel, utilisé dans un sens singulier.;;
1143;cabine;ceanbi;˽ ˽ ˽  ˽ ˽ ˽;6;cockpit;guérite;loge;habitacle;cabinet;(Marine) Petite chambre à coucher, à bord d’un bateau.;(Par extension) Petite chambre.;Petite pièce isolée.
1144;hauteur;auureth;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;éminence;butte;monticule;arrogance;élévation;Dimension d’un corps considéré de sa base à son sommet.;(En particulier) Le point le plus haut atteint par les eaux de la marée, d’une crue, d’une inondation.;Élévation d’un corps au-dessus de la terre ou de toute autre surface horizontale.
1145;oignon;ogionn;˽ ˽ ˽  ˽ ˽ ˽;6;échalote;cor;oeil-de-perdrix;durillon;cal;(Botanique) Plante à bulbe comestible, de la famille des liliacées (classification classique) ou des amaryllidacées (classification phylogénétique).;(Cuisine) Bulbe de cette plante, utilisé comme légume ou condiment.;Bulbe de plante.
1146;couche;uochec;˽ ˽ ˽  ˽ ˽ ˽;6;strate;enduit;lit;banc;lange;"(Mobilier) Lit ; endroit pour dormir.";(Figuré) Ce que l’on fait dans un lit et ce qui en résulte.;(Au pluriel) Temps pendant lequel une femme demeure au lit à cause de l’enfantement.
1147;collier;eolrcil;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;carcan;torque;joug;sautoir;chaîne;(Bijouterie) Ornement, bijou qui fait le tour du cou.;(Élevage) Cercle de cuir, de métal, etc., que l’on met autour du cou de quelques animaux.;(Par analogie) (Élevage) Marque naturelle en forme de cercle, qui se voit quelquefois autour du cou des quadrupèdes, des oiseaux, et qui est différente par sa couleur du reste de leur poil ou de leur plumage.
1148;équipage;geiéquap;˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽;8;attirail;équipement;train;accoutrement;costume;(Marine) Réunion de ceux qui montent un navire pour en faire le service et la manœuvre.;Personnel à bord d’un aéronef, ou d’un engin spatial, chargé de son fonctionnement et, le cas échéant, de la sécurité et du confort des passagers.;Toutes les choses nécessaires pour certaines entreprises ou opérations, pour divers exercices.
1151;incendie;eneiincd;˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽;8;conflagration;brasier;combustion;ignition;destruction par le feu;Réaction de combustion, feu non maîtrisé dans le temps et l’espace conduisant à l’embrasement d’un édifice, d’une maison, d’une forêt, etc.;Lumière rougeoyante qui illumine un vaste espace.;(Figuré) Vague de protestation.
1152;sénateur;enrstaéu;˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽;8;conseiller de la République;père conscrit;pair;parlementaire;père;(Politique) Membre d’un sénat.;;
1153;poison;iopons;˽ ˽ ˽  ˽ ˽ ˽;6;vipère;harpie;peste;aconitine;acqua-toffana;Substance qui, introduite dans l’organisme, altère ou même détruit les fonctions vitales.;(Figuré) Ce qui corrompt le cœur ou l’esprit, en parlant des maximes pernicieuses, des écrits ou des discours.;Chose qui trouble la raison, qui agite le cœur, qui nuit au bonheur de la vie.
1155;veine;nieev;˽ ˽ ˽ ˽ ˽;5;verve;chance;filon;baraka;bol;(Anatomie) Vaisseau qui ramène le sang au cœur.;(Par extension) Surtout au pluriel, Tout vaisseau sanguin.;(Botanique) Nervure de la feuille.
1156;tempête;mtetpêe;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;ouragan;bourrasque;orage;tornade;tourmente;(Météorologie) Tourmente atmosphérique, violente agitation de l’air, souvent accompagnée de pluie, de neige, de grêle, d’éclairs, de tonnerre, etc.;Tourmentes furieuses sur la mer, qui soulèvent les flots.;(Figuré) Violente agitation, tourmente politique, mouvement dirigé contre quelqu’un pour le perdre, pour l’accabler.
1158;cloche;holecc;˽ ˽ ˽  ˽ ˽ ˽;6;sonnette;clochette;sonnaille;clochard;clodo;Instrument fait de métal, ordinairement de bronze, creux, ouvert, qui va en s’élargissant par en bas et dont on tire du son au moyen d’un battant suspendu à l’intérieur ou à l’aide d’un marteau extérieur.;(Par analogie) Tout ce qui rappelle la forme de cet instrument.;(Botanique) Forme de fleurs dont la corolle gamopétale rappelle une cloche (→ voir campanulée).
1159;bandit;biandt;˽ ˽ ˽  ˽ ˽ ˽;6;brigand;voleur;fripouille;vaurien;malfaiteur;Malfaiteur vagabond et armé.;(Par extension) Personne sans aveu.;
1160;drapeau;urepaad;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;bannière;étendard;fanion;gonfalon;guidon;(Vexillologie) Pièce d’étoffe qu’on attache à une espèce de lance, de manière qu’elle puisse se déployer et flotter au vent, et qui sert à donner un signal, à indiquer un point de ralliement, à distinguer la nation ou le groupement d’individus qui l’arbore.;Enseigne d’une troupe, d’un régiment.;(Figuré) Honneur de toute l’armée et même pour toute la nation.
