Id;lemme;anagramme;nb_lettres;nb_lettres2;syn_1;syn_2;syn_3;syn_4;syn_5;def_1;def_2;def_3
122;confiance;feoiccann;_ _ _ _ _ _ _ _ _;9;franchise;toupet;assurance;créance;culot;Sentiment de sécurité vis-à-vis de quelqu’un ou quelque chose.;Assurance, hardiesse.;Première personne du singulier du présent de l’indicatif de confiancer.
125;téléphone;thplénoée;_ _ _ _ _ _ _ _ _;9;bigophone;taxiphone;biniou;grelot;bigorneau;(Téléphonie) Appareil utilisé par deux personnes ou plus, pour mener une conversation à distance. Peut-être fixe (relié à un réseau câblé) ou mobile (communiquant via des ondes radio).;(Vieilli) Service public qui assure les communications par téléphone.;Bureau où l’on peut se servir du téléphone.
128;attention;otitanetn;_ _ _ _ _ _ _ _ _;9;soin;prévenance;application;sollicitude;circonspection;"Concentration particulière sur quelque chose ; application d’esprit à quelque chose.";(En particulier) Vigilance.;Disposition qui porte à rendre des soins.
134;capitaine;etiipcaan;_ _ _ _ _ _ _ _ _;9;capiston;commandant;cinquantenier;louvetier;pitaine;(Militaire) Grade donné à un officier subalterne dans l’armée de terre, l’armée de l’air et la gendarmerie nationale de France, situé entre son supérieur hiérarchique, le commandant (armée de terre, armée de l’air) ou le chef d’escadron (gendarmerie), et son subordonné, le lieutenant, et qui commande une compagnie d’infanterie, un escadron de cavalerie, une batterie d’artillerie, etc. Ce grade correspond à celui de lieutenant de vaisseau dans la Marine nationale française. Le code OTAN : OF-2. Note :  Les grades de la Marine nationale comprenant ce mot sont officiers supérieurs.;Celui ou celle qui commande un navire de guerre ou de commerce.;Chef ou cheffe militaire qui possède des qualités nécessaires pour le commandement.
145;président;ertdéipns;_ _ _ _ _ _ _ _ _;9;P.D.G.;doyen;gouvernant;directeur;tuteur-trice;Personne qui préside une compagnie, une assemblée, un tribunal, une cour.;(Suisse) Chef de l’exécutif d’une commune dans les cantons suisses de Neuchâtel et du Valais.;Titre donné au chef d’État, dans la plupart des républiques.
209;situation;saottuiin;_ _ _ _ _ _ _ _ _;9;position;place;état;métier;condition;Position d’une ville, d’un château, d’une maison, d’un jardin, etc.;(Figuré) État ou position d’une personne ou d’une chose.;(Politique) État général des affaires.
239;professeur;sserfpeour;_ _ _ _ _ _ _ _ _ _;10;précepteur;instituteur;enseignant;pédagogue;éducateur;(Éducation) Personne qui enseigne une science ou un art.;Titre obtenu à l’issue d’un cursus universitaire, permettant d’encadrer des recherches académiques et universitaires.;Personne qui professe une doctrine.
256;impression;inessmriop;_ _ _ _ _ _ _ _ _ _;10;sensation;sentiment;empreinte;gravure;perception;Action d’imprimer par laquelle une chose appliquée sur une autre y laisse une empreinte.;Effet que l’action d’une chose produit sur un corps.;(Quelquefois) Ce qui reste de l’action qu’une chose a exercée sur un corps.
257;intérieur;nériiruet;_ _ _ _ _ _ _ _ _;9;home;intime;dedans;intrinsèque;entrailles;"Qui est au dedans ; qui est relatif au dedans.";Relatif à l’âme.;(En particulier) (Religion) Spirituel.
278;anniversaire;nriienersvaa;_ _ _ _ _ _ _ _ _ _ _ _;12;commémoration;commémoratif;célébration;mémoire;mémento;Retour annuel d’un jour marqué par un événement.;(En particulier) Date où échoit un nombre entier d'années qui suivent la naissance.;(Plus courant) (En particulier) Fête annuelle du jour de la naissance d’un individu.
